frame_idx,timestamp,day_float,count,diam_mean_mm,diam_std_mm,vel_mean_mm_s,count_smooth
197,2025-05-15 20:00:00,8.208333333333334,41,1.8028722431201158,0.7918183347789479,0.0009615714281071667,47.6
198,2025-05-15 21:00:00,8.25,94,1.9626909133824733,0.8014849297541263,0.0014444159741735566,52.0
199,2025-05-15 22:00:00,8.291666666666666,36,2.0666693463027714,0.7732372520523787,0.0023790453963618966,59.4
200,2025-05-15 23:00:00,8.333333333333334,56,1.9960896453118815,0.7840981551361794,0.00038552040713294187,66.0
201,2025-05-16 00:00:00,8.375,70,2.0602573599076672,0.7590183600063303,0.002508463390877146,71.0
202,2025-05-16 01:00:00,8.416666666666666,74,1.961928164749822,0.7959944424902138,0.0007584385789630499,87.8
203,2025-05-16 02:00:00,8.458333333333334,119,1.9860832310736916,0.7574650118828894,0.0006025993061759035,95.6
204,2025-05-16 03:00:00,8.5,120,2.081072390369388,0.8012985001856792,0.0007152418124044277,92.0
205,2025-05-16 04:00:00,8.541666666666666,95,2.094347166602144,0.7503063275879923,0.0005523603549515967,92.2
206,2025-05-16 05:00:00,8.583333333333334,52,1.8133922028773113,0.6738595529654122,0.0037903918763159813,91.6
207,2025-05-16 06:00:00,8.625,75,2.0290204590216647,0.8014045720066989,0.0005137612703131239,126.8
208,2025-05-16 07:00:00,8.666666666666666,116,1.9813136962207434,0.7682423457788519,0.0009179547645747835,155.0
209,2025-05-16 08:00:00,8.708333333333334,296,2.0144798120199066,0.7813903958755424,0.0004349622089350972,171.2
210,2025-05-16 09:00:00,8.75,236,2.0601405718933883,0.7658747755595261,0.0004382851073379046,192.8
211,2025-05-16 10:00:00,8.791666666666666,133,1.983736623604109,0.7802764232129373,0.0007164845588002948,194.6
212,2025-05-16 11:00:00,8.833333333333334,183,2.0848447469358256,0.8385439770107971,0.0003905679837862549,174.4
213,2025-05-16 12:00:00,8.875,125,1.9891474737730617,0.7552230874626228,0.0009134097465286937,138.6
214,2025-05-16 13:00:00,8.916666666666666,195,2.049921620643917,0.8065454720153297,0.00046013738755777635,127.2
215,2025-05-16 14:00:00,8.958333333333334,57,1.8722194368110079,0.7844377962319876,0.0010336368098572365,113.2
216,2025-05-16 15:00:00,9.0,76,2.0562681272093775,0.7979202010659036,0.0004491366866148107,100.4
217,2025-05-16 16:00:00,9.041666666666666,113,2.058458514431086,0.795945179231674,0.00038160335051586286,75.2
218,2025-05-16 17:00:00,9.083333333333334,61,1.9767807335042595,0.7353571189176814,0.001257726558661562,77.0
219,2025-05-16 18:00:00,9.125,69,1.9206000520781457,0.7165710646829158,0.0008625623243615649,72.0
220,2025-05-16 19:00:00,9.166666666666666,66,1.876354281997596,0.7274885338428129,0.0014254377262125834,78.4
221,2025-05-16 20:00:00,9.208333333333334,51,1.8087543711563974,0.7937785947237228,0.0009055225908375178,89.6
222,2025-05-16 21:00:00,9.25,145,2.123103406695302,0.7953725379887111,0.0002604595733235508,88.4
223,2025-05-16 22:00:00,9.291666666666666,117,1.9437668056985555,0.7665651194560454,0.0008817541074874238,105.4
224,2025-05-16 23:00:00,9.333333333333334,63,1.9695325374814106,0.8015907100820611,0.001168001903345881,109.4
225,2025-05-17 00:00:00,9.375,151,1.8965967467975469,0.7511795579826492,0.000287433034397303,96.0
226,2025-05-17 01:00:00,9.416666666666666,71,1.920846191340737,0.8420993375357362,0.0009834359640241049,89.8
227,2025-05-17 02:00:00,9.458333333333334,78,1.9819000887371807,0.8571446921793084,0.0005221807931686656,90.4
228,2025-05-17 03:00:00,9.5,86,1.9195230497000837,0.7914068754713636,0.00046157760871137494,75.4
229,2025-05-17 04:00:00,9.541666666666666,66,1.8964515527882222,0.7813430502854066,0.0009677307187585573,76.8
230,2025-05-17 05:00:00,9.583333333333334,76,2.0530948739266472,0.8255156053621625,0.0009752479715958834,81.0
231,2025-05-17 06:00:00,9.625,78,2.083932386597285,0.8427365495458213,0.000701879932011031,99.0
232,2025-05-17 07:00:00,9.666666666666666,99,2.0219072431781946,0.7759691861310091,0.0003571211071727639,110.2
233,2025-05-17 08:00:00,9.708333333333334,176,2.042385144097432,0.7602678061742478,0.00025862410819303206,108.6
234,2025-05-17 09:00:00,9.75,122,1.9678852202034898,0.757347628657145,0.0005707281255499557,109.6
235,2025-05-17 10:00:00,9.791666666666666,68,2.0144558486604582,0.7699095506341417,0.0008375113884804072,106.0
236,2025-05-17 11:00:00,9.833333333333334,83,2.1908446519709615,0.8013534449471266,0.000844556887836565,82.4
237,2025-05-17 12:00:00,9.875,81,2.023125259589748,0.8678877629434006,0.0009946978383498116,79.0
238,2025-05-17 13:00:00,9.916666666666666,58,1.8524139594256892,0.8910981819895709,0.0024090172539855364,78.0
239,2025-05-17 14:00:00,9.958333333333334,105,1.8535425746326506,0.7110018180680268,0.00039205067953486,77.2
240,2025-05-17 15:00:00,10.0,63,1.933166047479324,0.8251338317667617,0.0010309891134428755,70.6
241,2025-05-17 16:00:00,10.041666666666666,79,2.0453424956536472,0.825553008270344,0.0004666910608108817,78.2
242,2025-05-17 17:00:00,10.083333333333334,48,2.0298243498532904,0.802256266578724,0.0014310391960141266,71.6
243,2025-05-17 18:00:00,10.125,96,2.0448973029462603,0.7297378247410283,0.00022043970665354453,72.6
244,2025-05-17 19:00:00,10.166666666666666,72,1.7434382410868605,0.7642084664833405,0.0006848619095809671,94.0
245,2025-05-17 20:00:00,10.208333333333334,68,1.8247139685489535,0.8336097489740077,0.0015594407848987803,109.0
246,2025-05-17 21:00:00,10.25,186,2.085578068820835,0.8299233248483366,0.0003210350168540221,103.8
247,2025-05-17 22:00:00,10.291666666666666,123,2.013648497753518,0.8086707941746226,0.0006625049128033623,100.0
248,2025-05-17 23:00:00,10.333333333333334,70,1.9086665173726551,0.7435987975513234,0.0010091986605936546,102.0
249,2025-05-18 00:00:00,10.375,53,1.895210554934942,0.7588068494380712,0.0010917265757255715,81.2
